month,level_1,value
2011-03,Total (Excluding Motor Vehicles),98.8
2011-04,Total,96.2
2011-04,Total (Excluding Motor Vehicles),101.1
2011-05,Total,95.7
2011-05,Total (Excluding Motor Vehicles),101.3
2011-06,Total,98
2011-06,Total (Excluding Motor Vehicles),101.6
2011-07,Total,100.1
2011-07,Total (Excluding Motor Vehicles),103.5
2011-08,Total,94.5
2011-08,Total (Excluding Motor Vehicles),100.1
2011-09,Total,93.7
2011-09,Total (Excluding Motor Vehicles),99.2
2011-10,Total,98.3
2011-10,Total (Excluding Motor Vehicles),102.6
2011-11,Total,97.7
2011-11,Total (Excluding Motor Vehicles),101.5
2011-12,Total,97.7
2011-12,Total (Excluding Motor Vehicles),103.9
2012-01,Total,96.3
2012-01,Total (Excluding Motor Vehicles),102.8
2012-02,Total,102
2012-02,Total (Excluding Motor Vehicles),101
2012-03,Total,98.1
2012-03,Total (Excluding Motor Vehicles),103.2
2012-04,Total,98.2
2012-04,Total (Excluding Motor Vehicles),103.6
2012-05,Total,96.2
2012-05,Total (Excluding Motor Vehicles),101.9
2012-06,Total,96.5
2012-06,Total (Excluding Motor Vehicles),103.3
2012-07,Total,96.2
2012-07,Total (Excluding Motor Vehicles),102.7
2012-08,Total,96.6
2012-08,Total (Excluding Motor Vehicles),102.5
2012-09,Total,95.8
2012-09,Total (Excluding Motor Vehicles),103.1
2012-10,Total,96.5
2012-10,Total (Excluding Motor Vehicles),103.1
2012-11,Total,96.6
2012-11,Total (Excluding Motor Vehicles),103.2
2012-12,Total,94.8
2012-12,Total (Excluding Motor Vehicles),102.4
2013-01,Total,95.2
2013-01,Total (Excluding Motor Vehicles),100.8
2013-02,Total,95.7
2013-02,Total (Excluding Motor Vehicles),106.6
2013-03,Total,91.7
2013-03,Total (Excluding Motor Vehicles),103.9
2013-04,Total,97.9
2013-04,Total (Excluding Motor Vehicles),104.6
2013-05,Total,98.6
2013-05,Total (Excluding Motor Vehicles),105.2
2013-06,Total,93.5
2013-06,Total (Excluding Motor Vehicles),106.6
2013-07,Total,89.1
2013-07,Total (Excluding Motor Vehicles),103.8
2013-08,Total,90.6
2013-08,Total (Excluding Motor Vehicles),105
2013-09,Total,92.6
2013-09,Total (Excluding Motor Vehicles),103.9
2013-10,Total,89.1
2013-10,Total (Excluding Motor Vehicles),102.6
2013-11,Total,89
2013-11,Total (Excluding Motor Vehicles),102.8
2013-12,Total,91
2013-12,Total (Excluding Motor Vehicles),104
2014-01,Total,90.9
2014-01,Total (Excluding Motor Vehicles),102.9
2014-02,Total,94.1
2014-02,Total (Excluding Motor Vehicles),104.1
2014-03,Total,92.5
2014-03,Total (Excluding Motor Vehicles),103.3
2014-04,Total,91.1
2014-04,Total (Excluding Motor Vehicles),102.5
2014-05,Total,91.9
2014-05,Total (Excluding Motor Vehicles),102.2
2014-06,Total,92.3
2014-06,Total (Excluding Motor Vehicles),103
2014-07,Total,90.9
2014-07,Total (Excluding Motor Vehicles),100.5
2014-08,Total,93.5
2014-08,Total (Excluding Motor Vehicles),103
2014-09,Total,94.4
2014-09,Total (Excluding Motor Vehicles),103.6
2014-10,Total,95.2
2014-10,Total (Excluding Motor Vehicles),105.4
2014-11,Total,94.1
2014-11,Total (Excluding Motor Vehicles),104
2014-12,Total,94.5
2014-12,Total (Excluding Motor Vehicles),103.6
2015-01,Total,97.5
2015-01,Total (Excluding Motor Vehicles),105.1
2015-02,Total,95.4
2015-02,Total (Excluding Motor Vehicles),104.1
2015-03,Total,95.2
2015-03,Total (Excluding Motor Vehicles),101.9
2015-04,Total,96.7
2015-04,Total (Excluding Motor Vehicles),102.9
2015-05,Total,96.8
2015-05,Total (Excluding Motor Vehicles),102.7
2015-06,Total,98.8
2015-06,Total (Excluding Motor Vehicles),101.2
2015-07,Total,96.1
2015-07,Total (Excluding Motor Vehicles),101.5
2015-08,Total,100.1
2015-08,Total (Excluding Motor Vehicles),105.6
2015-09,Total,97.5
2015-09,Total (Excluding Motor Vehicles),101.1
2015-10,Total,97.8
2015-10,Total (Excluding Motor Vehicles),100.3
2015-11,Total,98.4
2015-11,Total (Excluding Motor Vehicles),101.4
2015-12,Total,98.8
2015-12,Total (Excluding Motor Vehicles),100.3
2016-01,Total,98
2016-01,Total (Excluding Motor Vehicles),99.9
2016-02,Total,98.2
2016-02,Total (Excluding Motor Vehicles),98.9
2016-03,Total,97.8
2016-03,Total (Excluding Motor Vehicles),98.4
2016-04,Total,98.2
2016-04,Total (Excluding Motor Vehicles),97.7
2016-05,Total,99.2
2016-05,Total (Excluding Motor Vehicles),99.6
2016-06,Total,99.1
2016-06,Total (Excluding Motor Vehicles),97.9
2016-07,Total,99.5
2016-07,Total (Excluding Motor Vehicles),98.9
2016-08,Total,98.4
2016-08,Total (Excluding Motor Vehicles),97.6
2016-09,Total,98.6
